text,label,clean_text
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,stymie little bit write feeling unsure might go somewhere story unintende
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun feed kayle daddy gerle awake unkind u
i feel you know basically like a fake in the realm of science fiction,0,feel know basically like fake realm science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,hate live dad roof give excuse asshole provide live think feel need make feel unwelcome possible ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,keep feel pleasantly surprised supportiveness also ease new situation
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,feeling anymore vigorous sexual activity come yes misspell cumme day part begin fall
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,feel mom graceful warm love smile rob time nurture heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,feel talk brother law extremely popular one think stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,eat could feel gentle tingle throughout almost feel healing take place cellular level
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,feel like pressure young beautiful thin depend trend girl rejuvenate butt implant
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,begin several time week feeling torture hallucination move people figure sound vibration
i am now nearly finished the week detox and i feel amazing,5,nearly finish week detox feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,feel selfish read back former post never ask prayer other never consider may other deserve prayer answer
i know the pain parents feel when an enraged child becomes violent,3,know pain parent feel enraged child become violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,roller coaster emotion suppose feeling something unpleasant come
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,suppose truth need share not feel faithful lately dwell doubt uncertainty faith
i was feeling brave when i bought it and clearly when i was doing my makeup,1,feel brave buy clearly makeup
i am feeling miserable but c i am also the proudest mum on earth,0,feel miserable c also proud mum earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,figure family love we matter around anyone else feel embarrassed michelle go ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,necessarily think f bomb sex necessary story feel reassure see print journal
i can feel my ovaries aching talking to me as i like to put it,0,feel ovary ache talk like put
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,feel like much chris mostly take many picture unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,tired book ready find give unsuitable image feel blame result sit well
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief
i think feelings are one of nay the most important things we have,1,think feeling one nay important thing
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,feel completely honor influence young talente fully alive beautiful girl woman
i feel angered and firey,3,feel angered firey
i feel like a miserable piece of garbage,0,feel like miserable piece garbage
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,feel like need make list leanne would appal thought not miss anything
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,drive dannika school feel little bit rush greet turn corner
i remember feeling so hellip furious with the shooter,3,remember feel hellip furious shooter
i feel very happy and excited since i learned so many things,1,feel happy excited since learn many thing
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,feel show around show horse people trust relaxed show horse safe quiet handle frequently
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,couple thing leave make start december do feel smug
i think about how u could make me feel and realize that everything will be ok,1,think u could make feel realize everything ok
i feel so worthless during those times i was struggling finding work,0,feel worthless time struggle find work
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,able lay bed dark feel terrified least
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,ready meet mom airport feel ever supportive arm around
im feeling bitter today my mood has been strange the entire day so i guess its that,3,feel bitter today mood strange entire day guess
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,mum brother pass away involve car accident bring present pass form five exam fly colour
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,let go animosity towards anyone feel wrong
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,talk dog feel understand word read emotion know supportive decide go home
i feel like throwing away the shitty piece of shit paper,0,feel like throw away shitty piece shit paper
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,start feel wryly amuse banal comedy error life turn
i find every body beautiful and only want people to feel vital in their bodies,1,find every body beautiful want people feel vital body
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,hear owner feel victimize association association attorney property manager
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,say goodbye fam sad crying feel like heartless bitch hey pretty excited fly first time know also spend year another country
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,will not let child cry feel love lily little go opportunity last short month
i alba i feel good and im fitting in,1,alba feel good fitting
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,feel excited feel like ton catch
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,also know good feel look back see honor word help start
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivate see kid wushu performance whole heartedly despite tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,feel like thing get little overwhelming spritz toner really help calm soothe
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,hope realize little effort require make person feel well situation whether family member college high school friend neighbor street even complete stranger
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,feel festive today even go put tree soon finish catch week going ons coronation street
finding out that i am not ill not seriously,1,find ill seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,alright class combination feel unsuccessful man handle stress late horrible week result almost cry finish grapple
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,feel rarely advance worthwhile cause always stick rule post anything online would not prepare say somebodys face
i am feeling all useful,1,feel useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,feel like pain imagine become passionate group idea cause pain
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair
im not feeling homesick yet so im feeling alright about this,0,feel homesick yet feel alright
i dance i should feel pretty,1,dance feel pretty
i workout every morning before and feel fabulous for it,1,workout every morning feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,feel eye touch word eye know assuredly return love know shall vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,feel fabulous friday morning start get awful cramp work
i feel honoured to have been able to call them friends to share their brotherhood,1,feel honoured able call friend share brotherhood
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,begin feel apprehensive thick black rain cloud storm sky town
i had stated to her the reason i feel so fearful is because i feel unsafe,4,state reason feel fearful feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,feel like get shake tsa quite yet pull side creative croissant lunch
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,get group feel really awkward overcompensate talkative get really quiet
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved
i feel they are pretty safe on my blog img src http s,1,feel pretty safe blog img src http
i feel pretty eager to get it done as i have a fun plan for quilting it,1,feel pretty eager get do fun plan quilt
i am feeling horny so i ask her that lets go home,2,feel horny ask let go home
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,think poem put pressure feel uncomfortable sense feel feel understand understand love able love
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,feel stranger strange land raise son place father ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,leave shower question feel gorgeous fantastic body confident movement effortlessly graceful
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day
i was still feeling strong,1,still feel strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,burst tear devastating release feeling thought seem know rich also go space without dump
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,want get pumpkin spice latte morning hot last thing want hot coffee maybe feel little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,suppose feel badly bit skeptical pain last month hyperchondria exaggeration habit past though never openly question
i clench to the corners of the bed to feel assured,1,clench corner bed feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,also feel like selfish grateful life amazing thing
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2,call god see god book figure god right name feel utterly affirm accept without question
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,know perhaps girl office nice short hair perhaps feel rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,0,feel miserable family type celebrate eid
i might go get a car wash if i am feeling really generous my car needs it,1,might go get car wash feel really generous car need
i still feel sleep deprived she is almost sleeping through the night giving us,0,still feel sleep deprive almost sleep night give we
i just feel really violent right now,3,feel really violent right
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,blog sit feel content dog amp cat etc know lucky truth
i started feeling funny and then friday i woke up sick as a dog,5,start feel funny friday wake sick dog
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,feel need protect parent witch hunt repress memory therapy
i feel disgusted to even be associated with this woman by my race and nationality,3,feel disgusted even associate woman race nationality
i laughed then bitterly again but i wasnt feeling bitter,3,laugh bitterly not feel bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,know feel think wish could we we know however much hate first experience would remember forever
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,feel quite mellow want soft easy look wear beginning cold
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,tell maybe need time think feel indecisive thing lately
i still feel it does the genre a disservice when stories are resolved artifically,1,still feel genre disservice story resolve artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,always know feel artistic write name artistic mood manitz draw circle dot big dot artistic feel line like accent mark spanish piss
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,remember feel really terrify brazil bus go steep mountain hill side mountain middle big storm wonder go fall
i could feel her whimper to the thought of being unloved and uncared for,0,could feel whimper thought unloved uncare
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,certainly go sit tell go personal life feel ever curious go life watch show
im sorry that there wasnt more humor in this post but im not feeling all that funny,5,sorry not humor post feel funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,feel get foot door fantastic world walk run trail fell mountain
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,say whatever come mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love
i feel strange coming back to work after my one day holiday,4,feel strange come back work one day holiday
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,clearly influence dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rush enjambment sonnet
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,fat thing life remain control whether get eat peanut butter bread get home impossible day first world look yet third world feel hell needy neglect little girl
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,could claim redeem genre leave feel entirely frustrated point beat head wall either
i feel so sad and hopeless,0,feel sad hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,4,get feeling class little intimidate concept lit
i still feel groggy but i have to get up to do the routine for my son,0,still feel groggy get routine son
i have a feeling my view isnt going to be very popular and thats fine,1,feeling view not go popular fine
i want to hold this feeling of shocked awe and wonder forever,5,want hold feeling shocked awe wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4,hear rumour st year exam result fear might one failure
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1,want feel value appreciate know people love not go anywhere even nature relationship change
i know there are days in which you feel distracted,3,know day feel distracted
i use it regularly with relaxing music and always feel invigorated afterward,1,use regularly relax music always feel invigorated afterward
im feeling distracted i tend to practice with my eyes shut as much as possible,3,feel distracted tend practice eye shut much possible
i feel like its perfect a w see youtube has its influences i even know trends,1,feel like perfect w see youtube influence even know trend
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,4,specifically want tango feel shy mak quite opposite hard get far enough away get good pic lol
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4,also feel weird sleep bed two sleep
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0,wish okay think early today here thing coope amp restless make feel needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1,lose weight could fit tiny skirt unable wear not feel confident
i hope to feel a bit more creative again soon and miss its presence in my life blog,1,hope feel bit creative soon miss presence life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,0,fan current president conservative make feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5,enclose verse could weigh much thinking feel curious hear odd couple
i begin to feel complacent with my life here,1,begin feel complacent life
i feel vulnerable and alone,4,feel vulnerable alone
i remember feeling inspired and thinking that it was a fine example of parenting,1,remember feel inspired think fine example parent
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0,feel like always one get punish stupid thing feel like chastise behave
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1,really feel life perfect right not much ask hope everything would stay
im there i simply feel contented,1,simply feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1,say cut everyone life feel important find comfort solitude meditation work project alone
i think im just being stupid feeling nervous,4,think stupid feeling nervous
i feel honored by it,1,feel honor
i was feeling an act of god at work in my life and it was an amazing feeling,5,feel act god work life amazing feeling
i feel im like a bird flying in the air in a very carefree manner,1,feel like bird fly air carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3,revise reply mind make sure reply sound appropriate enough person receive reply feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0,feel sad friend mine die feel something irrevocably go away
i died would alex and matt feel regretful for not coming to visit,0,die would alex matt feel regretful come visit
i feel that educating families and supporting and educationg mamas and papas is key,1,feel educate family support educationg mama papa key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3,sure lose feel like everyone hostile toward hate feel
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0,feel like boring sewing make since easy nothing else say fabric usage
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1,always like use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly
i feel like i talented young man i don t feel talented then i don t to work with,1,feel like talente young man feel talented work
i feel curious about all this things around,5,feel curious thing around
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,1,feel reason apart other live help become something push succeed successful happy
i feel now so uncomfortable with all of them i guess is me,4,feel uncomfortable guess
i feel pretty mellow so far about whatever healing wounding process may be getting underway,1,feel pretty mellow far whatever healing wounding process may get underway
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4,wonder sometimes whether add antagonism misunderstand many people towards we feel reluctant wholeheartedly support traditional armistice day remembrance
i legs would feel shitty for a few miles but would come around like they always do,0,leg would feel shitty mile would come around like always
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,4,know unfair reaction run way explain feel shake good come right
i seriously feel so blessed for the support that i have at home it s amazing,2,seriously feel blessed support home amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0,feel abuse malign mostly tired nervous feeling anticipate danger
i am feeling pretty restless right now while typing this,4,feel pretty restless right type
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,2,know gosman touristy place go montauk area infrequent visitor area want head harbor feel gentle cawing seagull lap water wood piling relax breeze come water
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0,admit hilarious e card seriously exactly feel stress feel moment could start hy
i wrote last year when i was feeling more dull and inarticulate than normal,0,write last year feel dull inarticulate normal
id kick myself into gear but i just feel irritable with no motivation what so ever,3,kick gear feel irritable motivation ever
i feel as a child innocent feelings illustrating a,1,feel child innocent feeling illustrate
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,2,satisfaction feeling long support contribute looter drive consumerism make walking corpse america revere young
i will start to feel resentful,3,start feel resentful
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0,spend vacation obligation headache feeling like emotional blackmail three place
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5,feel herpe come would surprised point make checkup clinic wednesday
i feel so fucked like everyday of my life,3,feel fuck like everyday life
ive worked really hard all year to try to make each child in the class feel like they are valued,1,work really hard year try make child class feel like value
i am feeling disheartened with my words as of late,0,feel dishearten word late
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3,feel like bitchy time upon retrospect think try shake
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,1,still second guess still terrible time make definitive decision certain truth know feel assure truth
i don t feel like eggs benedict i ll have something equally delicious,1,feel like egg benedict something equally delicious
im feeling my way through and trusting myself,1,feel way trust
im feeling inspired by all the summery elements of my favorite past time beach bummin,1,feel inspire summery element favorite past time beach bummin
i can feel that she smiled i love you even more gorgeous,1,feel smile love even gorgeous
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,0,continue define discover home mean amsterdam whenever feel pang blank sickness line miss cultural mindset american city life much different cultural mindset amsterdam
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,1,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely
i can t say i feel all that sympathetic,2,say feel sympathetic
i was feeling over eager and hopped on to the tube to ride the eye of london,1,feel eager hop tube ride eye london
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,0,go online see friend talk another one talk feel ignore feel unloved
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3,monitor say anything ever come across blog feel offended please not stop
i feel like that s so weird that i had cancer that one time,5,feel like weird cancer one time
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,1,want feel safe well maybe maybe small chance feel joy dream come true
im feeling cranky,3,feel cranky
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,1,also think puzzle particular administrator single praise ability get student read feel ssr time productive use class time
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,2,try fill befriend people know use not care need feel accept even complete loser
i feel stressed always,0,feel stressed always
i remember feeling another cramp but i also ignored it,0,remember feel another cramp also ignore
i hope i feel mellow well fed well slept at peace with myself within this external world,1,hope feel mellow well feed well sleep peace within external world
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0,also learn take lot effort positive thinking break tear feel exhausted guilty well mom
im feeling awful because we hung out with my friend and her new baby the day before,0,feel awful hang friend new baby day
i feel very relaxed and fine,1,feel relaxed fine
i feel the suffering and i really feel the pain,0,feel suffering really feel pain
i go to sleep i feel as if i m giving up precious time to do something else with my life,1,go sleep feel give precious time something else life
i feel like i ve been neglecting my beloved mom blog,1,feel like neglect beloved mom blog
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,1,shalt say cos din feel thing write hw keen xxx
i just feel terrified like im on the edge of a precipice staring ahead,4,feel terrified like edge precipice stare ahead
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,0,feel totally listless exam come go whole five month front uni free time
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,3,feel furious right life advocate tell live die lobby support politician sympathic view
i feel as if i was abused in some way,0,feel abuse way
im still paying attention but i feel distracted,3,still pay attention feel distracted
i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,2,start third block feel hot cold tingly time know still five hour examination ahead idea would good
im hesitant to make suggestions because i feel as if the outcome would not be sincere,1,hesitant make suggestion feel outcome would sincere
i feel not too terribly fond of the majority at this precise time,2,feel terribly fond majority precise time
i can feel myself gaining control over the damaged goods aspects of my personal security,0,feel gain control damage good aspect personal security
